name,Qty,Health,DR,Speed,text
Goblin,3,20,1,3,Major: Deal 3 damage to an adjacent target\n\nMinor: Deal 2 damage to a target
Ogre,2,40,2,5,Major: Deal 5 damage to an adjacent target\n\nMajor: Deal 3 damage to an adjacent target\nand 2 damage to a target adjacent to that target
Skeleton Archer,2,16,2,3,Major: deal 4 damage to a target\n\nMinor: Regain 2 health
Zombie,4,6,1,1,Major: Deal 3 damage to an adjacent target
Necromancer,1,60,1,7,Major: Summon a Zombie\n\nMinor: deal 2 necrotic damage to a target
Bandit,3,10,0,3,Major: Deal 4 Physical damage to an adjacent target
Bandit Soldier,3,25,1,5,Major: Deal 5 Physical damage to an adjacent target\n\nMinor: Block
Bandit Slinger,3,15,0,3,"Major: Deal 3 Physical damage to a target\n\nMajor(1): Deal 5 fire damage to a target, and 3 fire damage to each enemy adjacent to that target"
Bandit Captain,2,30,1,7,Major: Deal 6 Physical damage to an adjacent target\n\nMinor: Other Ally Bandits deal +1 damage until your next turn.
Bandit Lord,1,45,2,7,"Major: Deal 7 Physical damage to an adjacent target\n\nMinor: Summon a Bandit Soldier or Bandit Slinger"
Roc,1,7,0,4,"2: Deal 2 damage to an adjacent target. That target must attack the Roc on its next turn."
